reason_for_recall,classification
"Asparagus Salad Kit is recalled due to possible contamination with Listeria monocytogenes. The broccoli used in processing this item has been recalled by vendor Mann Packing of Salinas, California.",major
The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,severe
The firm stated that they were notified by some of their customers that their product contains metal fragments.,moderate
Presence of yeast and potential contamination with B. cepacia.,major
Potential contamination with Salmonella Newport.,major
Product is recalled because it was made with water contaminated with chemicals perfluorooctanoic acid (PFOA) and perluorooctanesulfonic acid (PFOS).  The observed PFOS and PFOA levels exceed EPA's 2016 combined Lifetime Health Advisory levels for drinking water (70 parts per trillion [ppt]).,severe
The sandwiches were made with green leaf and were recalled due to a potential to be contaminated with E. Coli O157:H7.,major
"Blueberry dipped in White Chocolate Biscotti-individually wrapped is recalled due to undeclared wheat, soy, and milk.",moderate
Leo Leo Gelato is recalling gelato and sorbetto because they contain frozen strawberries that may be contaminated with hepatitis A virus.,moderate
Potential to contain undeclared milk and soy,moderate
Firm was notified by L-Leucine supplier that product may contain cyclamates. Testing of the product confirmed this and a recall was initiated.,moderate
These ricotta cheese products were manufactured from loads of whey protein concentrate that tested positive for beta lactam residues.,major
"In cooperation with the FDA's warning to not consume mangoes from Agricola Daniella in Mexico, Del Monte Fresh Produce N.A., Inc, is initiating a voluntary recall of 1,600 bowls of fresh-cut mangoes distributed to retail outlets due to the potential risk that the mangoes may contain Salmonella. Salmonella is an organism which can cause serious and sometimes fatal infections in young children, frai",major
Two Chefs on a Roll is recalling humus products because they may contain small pieces of material from food grade equipment.,moderate
Product has the potential to be contaminated with Salmonella.,severe
Firm testing found Vibrio parahaemolyticus in cooked butterfly shrimp from Thailand.,major
Products not manufactured under GMP's,major
"Product is recalled because a statement on the overwrap label erroneously states ""No Gluten"" while the ingredients statement and the Contains statements on both the overwrap label and the flip label on each individual cup declare wheat.",moderate
Undeclared allergen: Peanuts,moderate
Undeclared Milk on the labels of various dark chocolate bars. FDA samples came back positive for milk.,moderate
Product has the potential to be contaminated with Salmonella.,severe
Sauce found to have a pH higher than specifications.,moderate
Product may contain undeclared milk.,moderate
Use of ingredient with violative pesticide residue.,major
Products contains an ingredient (cumin) potentially contaminated with Salmonella.,major
Possible contamination with Listeria monocytogenes in frozen manicotti pasta.,severe
"Protein powders and nutritional supplement products made of whey concentrate, whey isolate, casein, and colostrum are not labeled as containing milk",major
The products are contaminated with Listeria monocytogenes.,severe
Sandwiches may contain undeclared soy and egg.,moderate
"IQF veggie Burger, and IQF Goat Tomato & Kale are being recalled due to potential Listeria monocytogenes or Salmonella contamination.",major
Greek yogurt product Chobani brand is recalled due to report of illnesses and product bloated and swollen.,major
potentially been contaminated with Listeria monocytogenes,severe
Risk of Hepatitis A exposure.,severe
Product may contain metal fragments.,moderate
"Ready to Eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from Cyclospora.",major
Products not manufactured under GMP's,major
"Sunland, Inc. is conducting a voluntary limited recall of its Almond, Peanut, and Cashew Butter products and Tahini and Roasted Blanched Peanut Products, manufactured between May 1, 2010 and September 24, 2012, because these products may be contaminated with Salmonella.",major
Trader Joe's is recalling Trader Giotto's Butternut Squash Triangoli because it may contain undeclared tree nuts.,moderate
CFIA notified FDA of positive result for Listeria monocytogenes with various best by dates of Sweet Kale Salad Blend.,severe
Product has elevated levels of coliforms,moderate
Potentially contaminated with Listeria monocytogenes,severe
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
"During an FDA inspection, microbiological swabs were collected and the results found that 21 sub samples in zones 1, 2 & 3 are positive for Listeria Monocytogenes (L.M.), Listeria innocua (L.I.) or Listeria seeligeri (L.S.). The firm is voluntarily recalling all products manufactured from August 20th to September 10th 2012 due to the possible contamination. All lots with sell by dates on or before",severe
